Country,Indicator Name,Time Period,Value
Canada,"Consumer Price Index, All items",1980M1,41.8
Canada,"Consumer Price Index, All items",1980M2,42.3
Canada,"Consumer Price Index, All items",1980M3,42.6
Canada,"Consumer Price Index, All items",1980M4,42.9
Canada,"Consumer Price Index, All items",1980M5,43.4
Canada,"Consumer Price Index, All items",1980M6,43.9
Canada,"Consumer Price Index, All items",1980M7,44.2
Canada,"Consumer Price Index, All items",1980M8,44.7
Canada,"Consumer Price Index, All items",1980M9,45
Canada,"Consumer Price Index, All items",1980M10,45.4
Canada,"Consumer Price Index, All items",1980M11,46
Canada,"Consumer Price Index, All items",1980M12,46.2
Canada,"Consumer Price Index, All items",1981M1,46.9
Canada,"Consumer Price Index, All items",1981M2,47.4
Canada,"Consumer Price Index, All items",1981M3,48
Canada,"Consumer Price Index, All items",1981M4,48.3
Canada,"Consumer Price Index, All items",1981M5,48.7
Canada,"Consumer Price Index, All items",1981M6,49.5
Canada,"Consumer Price Index, All items",1981M7,49.9
Canada,"Consumer Price Index, All items",1981M8,50.3
Canada,"Consumer Price Index, All items",1981M9,50.7
Canada,"Consumer Price Index, All items",1981M10,51.2
Canada,"Consumer Price Index, All items",1981M11,51.6
Canada,"Consumer Price Index, All items",1981M12,51.8
Canada,"Consumer Price Index, All items",1982M1,52.2
Canada,"Consumer Price Index, All items",1982M2,52.8
Canada,"Consumer Price Index, All items",1982M3,53.5
Canada,"Consumer Price Index, All items",1982M4,53.8
Canada,"Consumer Price Index, All items",1982M5,54.5
Canada,"Consumer Price Index, All items",1982M6,55.1
Canada,"Consumer Price Index, All items",1982M7,55.4
Canada,"Consumer Price Index, All items",1982M8,55.6
Canada,"Consumer Price Index, All items",1982M9,55.9
Canada,"Consumer Price Index, All items",1982M10,56.3
Canada,"Consumer Price Index, All items",1982M11,56.6
Canada,"Consumer Price Index, All items",1982M12,56.6
Canada,"Consumer Price Index, All items",1983M1,56.5
Canada,"Consumer Price Index, All items",1983M2,56.8
Canada,"Consumer Price Index, All items",1983M3,57.4
Canada,"Consumer Price Index, All items",1983M4,57.4
Canada,"Consumer Price Index, All items",1983M5,57.5
Canada,"Consumer Price Index, All items",1983M6,58.1
Canada,"Consumer Price Index, All items",1983M7,58.4
Canada,"Consumer Price Index, All items",1983M8,58.7
Canada,"Consumer Price Index, All items",1983M9,58.7
Canada,"Consumer Price Index, All items",1983M10,59.1
Canada,"Consumer Price Index, All items",1983M11,59.1
Canada,"Consumer Price Index, All items",1983M12,59.2
Canada,"Consumer Price Index, All items",1984M1,59.6
Canada,"Consumer Price Index, All items",1984M2,59.9
Canada,"Consumer Price Index, All items",1984M3,60
Canada,"Consumer Price Index, All items",1984M4,60.2
Canada,"Consumer Price Index, All items",1984M5,60.2
Canada,"Consumer Price Index, All items",1984M6,60.6
Canada,"Consumer Price Index, All items",1984M7,60.8
Canada,"Consumer Price Index, All items",1984M8,60.8
Canada,"Consumer Price Index, All items",1984M9,60.9
Canada,"Consumer Price Index, All items",1984M10,61.1
Canada,"Consumer Price Index, All items",1984M11,61.4
Canada,"Consumer Price Index, All items",1984M12,61.4
Canada,"Consumer Price Index, All items",1985M1,61.7
Canada,"Consumer Price Index, All items",1985M2,62.1
Canada,"Consumer Price Index, All items",1985M3,62.2
Canada,"Consumer Price Index, All items",1985M4,62.5
Canada,"Consumer Price Index, All items",1985M5,62.7
Canada,"Consumer Price Index, All items",1985M6,63
Canada,"Consumer Price Index, All items",1985M7,63.3
Canada,"Consumer Price Index, All items",1985M8,63.3
Canada,"Consumer Price Index, All items",1985M9,63.4
Canada,"Consumer Price Index, All items",1985M10,63.6
Canada,"Consumer Price Index, All items",1985M11,63.8
Canada,"Consumer Price Index, All items",1985M12,64.1
Canada,"Consumer Price Index, All items",1986M1,64.4
Canada,"Consumer Price Index, All items",1986M2,64.7
Canada,"Consumer Price Index, All items",1986M3,64.9
Canada,"Consumer Price Index, All items",1986M4,64.9
Canada,"Consumer Price Index, All items",1986M5,65.3
Canada,"Consumer Price Index, All items",1986M6,65.4
Canada,"Consumer Price Index, All items",1986M7,65.9
Canada,"Consumer Price Index, All items",1986M8,66
Canada,"Consumer Price Index, All items",1986M9,66
Canada,"Consumer Price Index, All items",1986M10,66.4
Canada,"Consumer Price Index, All items",1986M11,66.7
Canada,"Consumer Price Index, All items",1986M12,66.8
Canada,"Consumer Price Index, All items",1987M1,67
Canada,"Consumer Price Index, All items",1987M2,67.3
Canada,"Consumer Price Index, All items",1987M3,67.5
