Time Period,Canada,United Kingdom,United States
1980M1,99.19463348,99.77310181,100.1652756
1980M10,98.38812256,99.78505707,100.4324036
1980M11,98.47654724,99.78970337,100.3932037
1980M12,98.32775879,99.82130432,100.3860016
1980M2,99.04891968,99.7604599,100.2228928
1980M3,98.80536652,99.79079437,100.2051544
1980M4,98.73765564,99.80673981,100.2223053
1980M5,98.6520462,99.78736877,100.2253571
1980M6,98.61947632,99.80050659,100.2603531
1980M7,98.84070587,99.75540161,100.3520584
1980M8,98.61779022,99.73565674,100.4648209
1980M9,98.40467072,99.74245453,100.5239868
1981M1,98.31977081,99.8325119,100.3759384
1981M10,98.13961792,99.8391037,100.4880295
1981M11,98.32422638,99.82298279,100.4500275
1981M12,98.43933105,99.80586243,100.4352951
1981M2,98.17471313,99.83068085,100.4107437
1981M3,98.15842438,99.84470367,100.4142303
1981M4,98.15047455,99.83733368,100.4575348
1981M5,98.068573,99.83586884,100.5257492
1981M6,98.172966,99.80228424,100.566864
1981M7,98.09133148,99.81275177,100.5581055
1981M8,98.11084747,99.82620239,100.5299225
1981M9,98.10527039,99.83158112,100.5149994
1982M1,98.60875702,99.75848389,100.4451904
1982M10,98.54443359,99.84469604,100.4180832
1982M11,98.48779297,99.82720947,100.4693832
1982M12,98.47039795,99.82267761,100.519928
1982M2,98.55315399,99.72962189,100.5412445
1982M3,98.49885559,99.7172699,100.6017609
1982M4,98.61940002,99.73674774,100.5437393
1982M5,98.63830566,99.75971985,100.4852676
1982M6,98.51624298,99.78707123,100.495575
1982M7,98.51769257,99.77659607,100.516571
1982M8,98.54064178,99.7898407,100.5181274
1982M9,98.59833527,99.81728363,100.4605637
1983M1,98.46857452,99.82492065,100.5393829
1983M10,98.36203766,99.76473236,100.6596069
1983M11,98.28623199,99.77822876,100.6777725
1983M12,98.23529816,99.78130341,100.6894455
1983M2,98.43687439,99.80897522,100.6045761
1983M3,98.37231445,99.79472351,100.6473999
1983M4,98.44448853,99.78794861,100.6109924
1983M5,98.54774475,99.7493515,100.6081772
1983M6,98.47823334,99.75669098,100.5886002
1983M7,98.38191223,99.78157806,100.5713654
1983M8,98.43897247,99.76217651,100.6060333
1983M9,98.46438599,99.76617432,100.6416397
1984M1,98.23326874,99.77026367,100.6620102
